Gender,Income,Education_Level,Travel_Frequency,Preferred_Activities,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference,AgeGroup
1,17269,1,9,1,1063,0,271,284,3,1,0,1,3
1,34691,3,6,2,3047,0,75,21,3,1,1,0,1
2,4229,3,9,1,3763,1,45,63,0,0,1,1,3
1,4336,1,9,3,334,0,239,156,2,1,0,0,0
1,37543,1,2,0,2654,1,88,270,2,0,0,1,2
2,24218,1,9,1,4217,0,167,24,0,0,1,0,0
1,12113,1,0,0,3063,1,51,65,1,0,0,1,0
1,20917,1,0,2,3312,1,101,104,2,0,1,0,1
2,11163,1,8,0,3994,2,211,166,2,0,0,0,1
1,17363,1,9,2,3242,0,134,118,0,0,0,0,0
1,36003,3,8,0,357,1,30,219,2,1,1,1,1
0,37578,0,4,1,2367,1,271,74,2,1,0,0,0
2,19383,0,6,1,2483,0,231,10,3,0,0,0,0
0,5896,1,5,3,4096,0,178,240,2,1,1,0,0
2,5084,1,8,3,1701,2,140,34,2,1,1,0,2
1,857,3,4,1,1121,0,109,73,0,1,0,0,2
0,5176,3,2,3,2461,1,298,268,1,1,0,0,0
0,39501,0,0,3,2025,1,288,107,2,1,0,0,0
0,5047,1,1,3,3383,1,57,150,2,0,1,0,0
0,32686,2,9,0,1612,2,274,141,0,0,0,0,3
2,15547,3,7,3,86,1,22,189,0,1,1,0,2
1,18267,1,1,1,532,0,17,104,3,1,0,1,2
1,25633,3,2,0,3408,2,213,113,0,0,0,0,2
0,39731,1,7,3,3207,1,155,32,2,1,0,0,2
1,8069,2,1,3,3,1,171,97,1,0,1,0,2
1,23667,1,3,1,3807,1,243,185,3,1,0,0,0
2,6849,2,6,0,3468,1,130,61,1,0,0,0,2
1,29733,2,4,1,4261,1,101,140,1,0,1,1,0
1,29419,3,3,2,1171,1,82,20,2,1,0,0,2
1,13769,2,3,2,4219,1,190,161,2,1,1,0,3
1,9940,2,7,3,3009,0,149,167,3,0,1,0,0
0,24969,3,0,2,3602,0,77,0,0,0,1,0,0
2,40333,2,8,3,336,0,278,128,3,1,0,0,1
2,3859,2,1,0,3492,1,72,198,1,0,1,1,0
2,30834,1,8,2,2599,1,75,1,1,1,0,0,2
1,6915,3,2,2,3058,1,197,212,3,0,0,0,1
0,1956,2,8,1,3646,1,103,290,3,0,1,1,1
2,27688,2,5,2,2647,1,260,238,0,1,0,0,1
0,9658,1,5,2,281,0,170,118,0,1,0,0,2
2,39430,1,3,2,3499,1,163,151,1,1,0,0,0
0,10697,0,0,1,3750,0,62,279,1,0,0,1,1
1,12179,1,7,2,729,0,15,78,2,0,0,0,3
1,30481,1,5,2,727,1,273,269,0,0,1,0,0
2,8665,2,0,2,3052,2,198,92,0,0,1,0,1
2,26242,2,2,0,725,2,262,247,3,1,0,0,0
2,27314,1,0,3,451,0,67,203,3,1,1,0,0
1,29589,1,9,0,2427,0,140,87,1,1,1,0,1
1,24178,2,7,2,4108,2,53,225,1,0,0,0,0
2,5910,3,4,3,1014,2,36,137,2,0,0,0,2
2,21020,0,4,2,3191,2,114,237,3,1,0,0,2
1,37575,0,4,3,642,1,145,33,3,0,1,0,0
2,36442,3,5,0,3373,2,264,30,3,1,1,0,2
2,25533,3,7,3,77,1,17,149,2,1,1,0,2
2,33971,3,8,3,1191,1,57,18,0,0,0,0,0
1,35105,3,2,3,3027,0,288,109,1,1,0,0,3
1,24516,1,4,3,1085,0,235,222,1,1,1,0,2
0,24130,2,0,0,3448,2,60,5,2,0,1,0,0
0,14343,3,6,1,499,0,2,263,0,0,0,1,0
0,30979,1,5,2,560,0,45,215,2,1,0,0,1
0,1229,3,5,3,4359,2,220,72,1,0,1,0,2
2,26623,0,2,3,4001,2,263,26,1,0,1,0,2
1,39640,0,0,3,1560,2,31,162,1,0,0,0,0
1,10402,1,9,0,1799,0,151,203,3,0,0,1,3
0,33716,3,1,2,3373,0,13,111,0,1,1,0,1
2,35546,1,2,0,4268,1,137,137,1,0,0,0,3
1,31429,0,8,0,501,1,47,79,1,1,0,1,2
1,40569,3,2,2,598,2,58,236,0,1,0,0,1
2,18329,3,4,0,2730,2,111,25,2,1,0,0,3
2,5590,3,3,2,520,1,180,251,3,1,1,0,1
0,29746,0,9,1,3368,2,136,71,0,1,1,0,3
0,5881,3,4,2,3166,0,10,156,2,0,1,0,3
2,33543,1,7,3,1254,0,189,267,1,1,1,0,2
1,39773,0,0,3,3200,0,48,254,2,0,0,0,2
2,16666,0,0,3,2914,2,223,278,0,1,0,0,0
2,25524,1,9,1,3137,0,83,136,0,1,1,1,0
1,16554,1,9,2,1273,2,70,32,3,0,1,0,0
1,35494,1,4,1,162,2,216,142,1,1,1,0,2
0,20391,2,5,0,1333,0,4,23,0,1,1,1,1
2,29365,1,1,2,4471,2,163,269,2,1,1,0,0
0,37219,1,1,3,2579,1,210,295,1,0,0,0,1
2,33126,2,0,3,1526,2,284,231,2,0,1,0,0
2,15359,2,9,2,2012,0,197,122,1,0,0,0,2
1,27573,0,5,0,1122,2,252,131,0,0,1,0,1
2,8179,3,0,3,1452,1,42,205,0,0,1,0,0
2,13520,0,6,1,1585,1,283,39,1,1,1,0,0
1,548,2,6,3,2569,0,190,234,0,0,0,0,1
1,27218,0,8,3,1709,2,93,138,2,0,0,0,0
1,9774,1,8,0,51,0,128,58,2,1,0,0,2
2,6713,1,4,2,3806,2,296,203,2,1,0,0,1
1,14420,1,8,2,804,1,46,79,1,1,1,0,2
2,20316,2,1,0,1100,0,259,256,2,1,0,0,0
0,30273,1,5,3,2108,2,184,216,3,0,1,0,0
1,38252,2,2,2,3456,2,259,53,2,0,1,0,3
0,9442,0,0,2,412,1,280,277,3,1,0,0,0
0,9443,2,4,3,1940,2,18,200,1,0,1,0,3
1,21219,2,2,2,4467,1,264,183,3,1,0,0,1
1,40665,0,9,1,4267,1,135,74,0,0,0,0,2
2,15394,0,1,2,19,1,140,1,2,0,0,0,3
1,8279,0,2,1,1601,1,209,4,3,1,0,0,0
0,28068,2,4,3,281,0,34,71,2,1,0,0,1
0,37996,3,8,3,1420,0,91,169,2,1,1,0,0
0,2057,0,5,1,1164,1,136,239,1,0,0,1,2
2,4717,1,0,0,4247,2,236,139,2,0,1,0,1
2,39413,2,9,1,2307,2,22,51,3,1,1,1,1
1,30330,1,9,3,3375,1,79,278,3,1,0,0,0
1,17104,2,3,1,3490,2,268,119,3,0,0,0,3
1,36007,2,6,1,926,2,264,196,2,1,1,0,1
0,389,1,3,3,3911,1,7,146,2,1,0,0,0
0,19707,2,2,1,4028,0,56,76,2,1,1,1,1
0,13072,0,2,3,3160,2,149,135,2,1,1,0,2
1,12454,2,3,1,2852,2,108,252,2,0,1,1,3
1,32255,2,7,0,3917,2,103,203,1,1,1,1,2
0,11618,1,0,2,3629,0,182,176,3,1,1,0,2
1,35253,2,2,2,1282,0,73,219,2,1,0,0,2
2,33929,3,4,2,293,2,240,4,1,0,1,0,1
1,17088,1,0,0,3519,1,246,232,2,0,1,0,2
0,7580,2,0,2,470,2,162,122,2,0,1,0,1
1,39428,2,7,3,73,0,280,268,3,0,1,0,3
2,23395,1,8,3,1431,1,38,176,3,1,0,0,3
0,3652,3,7,2,359,1,115,57,2,1,0,0,0
1,39758,2,8,0,3379,0,120,44,1,0,1,0,1
1,5124,1,1,2,22,2,216,199,3,1,1,0,0
1,4982,3,5,1,760,0,180,208,0,1,0,1,2
1,10238,0,2,3,3195,1,2,181,1,0,1,0,1
2,22437,3,3,2,1671,1,8,214,2,1,1,0,3
1,20139,3,3,3,826,0,80,229,0,1,0,0,1
1,35772,0,5,3,202,2,103,259,2,0,0,0,1
0,16603,2,2,1,3554,2,157,278,0,0,1,1,1
2,17143,1,1,3,1725,2,192,135,1,0,1,0,1
0,5908,0,3,2,1742,2,243,39,0,1,1,0,2
2,38297,1,5,2,3527,1,111,268,0,0,0,0,1
1,7922,0,4,0,2581,0,97,248,1,1,1,1,1
2,31547,3,7,3,1441,0,3,166,3,1,0,0,1
0,1182,1,6,3,2173,0,33,209,0,0,0,0,0
1,13367,2,6,3,3078,2,73,65,1,0,0,0,0
0,12374,2,0,3,2818,1,296,281,2,0,1,0,2
0,35685,1,3,0,3670,0,240,129,3,1,0,0,0
2,40950,3,2,3,89,2,220,111,2,0,1,0,1
1,21654,2,6,3,418,0,141,31,2,0,1,0,1
0,33597,1,6,1,3741,1,87,250,0,0,0,1,2
0,2574,0,3,1,52,0,20,78,1,1,0,1,1
2,18700,2,0,2,3805,2,119,66,3,0,0,0,2
0,33513,2,9,3,584,0,290,194,3,0,1,0,3
1,18246,2,6,0,2622,1,241,260,1,1,1,1,0
1,40537,0,0,1,1272,0,2,176,3,1,0,1,3
2,15704,0,7,1,3380,2,243,275,2,1,1,1,0
0,39791,1,0,3,1866,2,290,130,3,0,0,0,2
2,11538,0,2,2,3841,1,235,22,0,0,0,0,0
2,38867,3,5,3,263,0,106,63,1,1,1,0,2
0,25981,2,2,3,2982,2,25,291,0,0,0,0,1
1,7362,1,9,3,2467,1,206,78,2,0,0,0,3
2,3188,0,4,3,3261,2,235,235,3,0,1,0,2
1,28328,3,1,0,524,1,185,108,3,1,1,0,2
1,13812,2,7,3,3265,2,265,176,1,0,0,0,3
0,28057,1,0,0,1861,2,194,194,0,0,0,0,0
0,33838,3,5,0,3147,2,185,63,0,1,0,0,2
1,39795,0,8,1,3351,1,71,83,1,1,1,1,2
1,21724,3,4,3,2363,2,192,28,2,0,0,0,2
1,40855,2,9,0,4294,0,143,195,2,0,0,1,2
2,23319,3,3,2,2416,1,215,111,1,0,0,0,0
1,12336,2,8,3,471,1,144,101,0,1,0,0,1
2,17916,2,0,0,3275,1,275,189,3,0,0,0,3
0,27685,2,4,2,2094,2,174,114,1,1,0,0,2
0,7910,3,3,0,2781,0,200,177,1,1,1,0,3
1,4024,1,3,1,2754,1,199,252,3,1,1,1,1
0,6289,0,8,1,2169,1,273,281,3,1,1,1,0
1,27892,1,1,3,965,2,107,54,0,1,1,0,0
2,22665,2,9,0,3539,1,62,253,2,1,0,1,1
1,6847,1,9,2,914,1,271,121,1,1,0,0,2
0,3630,1,1,1,1002,1,153,221,3,1,0,1,2
1,37674,2,9,3,147,1,34,265,3,1,1,0,3
0,7,0,9,0,1042,1,261,43,2,1,0,0,2
2,11605,3,2,2,3904,2,150,195,2,1,0,0,0
0,18643,0,6,0,172,2,174,29,0,0,0,0,2
0,11934,3,7,0,952,1,186,127,0,0,0,0,1
0,17917,1,6,3,1123,0,164,116,2,0,1,0,0
0,13687,3,0,3,1315,2,295,11,2,0,0,0,0
0,24006,0,3,1,3304,1,24,242,0,1,1,1,3
0,3287,3,6,2,2022,0,293,199,2,1,0,0,1
1,4752,2,8,0,4070,0,221,91,1,1,1,0,1
2,26671,1,9,2,1443,1,217,84,0,1,0,0,0
1,5008,0,1,3,342,1,237,280,1,1,1,0,0
2,12074,1,3,3,1717,0,215,32,3,0,0,0,1
1,7436,0,9,1,1004,2,123,169,3,1,1,1,2
2,40310,1,2,0,2135,2,70,32,0,0,0,0,0
2,35487,0,6,0,3800,2,131,44,2,1,1,0,0
1,25682,1,6,3,3048,0,4,188,3,1,1,0,1
1,29619,1,2,0,2308,0,49,141,1,1,0,1,0
2,32222,0,1,0,3733,0,98,242,1,1,0,1,0
0,7656,2,4,1,654,0,265,230,3,1,1,0,2
2,27053,3,1,1,1994,2,292,3,1,0,1,0,1
0,40884,2,5,2,1016,1,258,215,2,0,1,0,3
2,4755,0,2,1,3157,1,63,196,3,1,0,1,2
0,38158,2,3,1,3768,1,13,100,0,1,0,1,0
1,29035,3,3,3,1426,0,52,4,2,0,1,0,3
1,36617,1,4,1,4360,2,29,218,1,0,1,1,0
0,33708,1,0,0,1207,1,156,258,0,1,1,1,2
0,34158,0,1,0,2791,0,136,247,2,1,1,1,3
0,37292,2,6,2,131,2,153,23,3,1,1,0,1
0,14389,2,6,3,958,2,277,122,2,0,1,0,1
1,4331,3,7,2,24,0,116,179,2,0,0,0,2
2,38795,3,6,2,888,0,262,5,3,1,0,0,1
1,1877,0,7,0,1397,2,260,176,0,1,0,0,1
2,18768,2,5,2,1207,2,246,107,3,1,1,0,3
1,33868,0,1,1,3905,0,197,295,0,1,1,1,0
0,39116,2,5,2,1163,2,279,134,0,0,0,0,0
1,3285,1,5,0,4198,1,299,93,0,0,0,0,2
1,23776,2,4,2,2858,0,258,223,1,0,1,0,1
0,25037,0,3,3,3401,0,115,91,0,0,0,0,1
0,33079,2,6,3,2718,0,216,142,1,1,1,0,0
1,4209,3,1,1,3395,1,228,125,2,0,1,0,1
1,2895,2,9,3,472,0,271,67,0,0,0,0,1
2,10488,2,1,2,417,1,207,183,0,1,0,0,2
2,37387,1,2,1,3303,2,287,134,0,1,0,0,0
1,9893,0,7,2,2717,0,115,155,2,0,0,0,3
2,39265,3,2,1,3704,0,74,229,0,1,1,1,1
0,33247,1,2,1,3930,0,78,280,0,0,1,1,0
1,5424,0,5,3,4449,2,202,198,0,1,0,0,2
1,34771,0,2,1,2903,2,258,275,2,1,0,1,2
2,11207,1,0,0,3158,2,240,204,0,1,0,0,2
1,39509,1,3,1,13,2,46,222,2,0,0,1,2
1,9899,1,9,1,1849,1,102,2,3,1,1,0,3
0,28708,3,2,3,3971,2,169,196,2,0,1,0,2
1,34467,1,7,0,1631,1,61,76,0,1,1,1,3
2,16497,0,6,0,3659,2,103,117,2,1,0,1,0
0,10347,0,6,3,3975,0,107,65,1,0,1,0,2
2,28608,2,5,2,570,2,205,202,2,1,1,0,1
1,35622,2,7,2,757,0,154,128,1,0,0,0,0
2,4095,1,6,2,240,1,44,10,2,0,0,0,1
2,32243,1,4,1,174,0,282,229,0,1,0,0,2
0,21119,3,1,3,3823,1,230,268,3,1,0,0,2
1,10850,3,0,0,3013,2,41,166,3,1,0,1,0
0,16491,0,0,1,407,0,213,157,2,0,1,0,2
1,28376,1,6,2,3212,1,35,216,3,0,1,0,1
0,35224,3,4,3,111,0,164,207,1,0,1,0,2
1,1739,1,1,3,4149,2,109,21,1,0,0,0,2
0,14044,2,7,1,1741,2,15,202,2,1,0,1,0
1,18568,0,5,1,1725,1,273,127,3,0,0,0,1
0,25223,3,0,1,2809,2,155,67,0,1,0,0,3
2,40477,0,6,0,3043,1,123,299,2,1,0,1,3
0,12394,3,6,0,282,0,161,39,1,0,0,0,0
2,5438,0,1,0,1887,2,287,203,1,0,1,0,2
0,30463,2,6,3,2706,1,227,210,1,1,1,0,0
2,28126,1,6,3,1217,0,236,82,0,0,1,0,2
1,24636,2,5,2,3166,2,272,100,3,0,0,0,0
2,13983,3,5,3,3106,0,233,240,0,0,1,0,3
1,11667,1,9,3,756,1,247,23,1,0,0,0,0
2,7014,3,6,3,1831,0,75,138,1,0,0,0,1
1,26832,0,5,1,1735,2,13,262,1,0,0,1,2
2,29584,2,2,0,1631,0,271,80,3,1,1,0,0
0,22465,2,0,3,2146,1,212,208,1,0,1,0,1
1,37659,0,2,2,3649,1,209,104,3,1,0,0,2
1,10629,1,5,2,3522,2,286,280,2,1,0,0,1
2,39227,0,1,3,1974,0,19,99,2,1,1,0,2
0,4697,3,2,3,1816,1,207,269,3,0,1,0,1
1,14651,0,2,1,4169,0,264,53,1,0,1,0,3
1,36473,1,6,3,4164,1,53,267,2,0,1,0,1
0,35210,3,6,3,2752,0,172,93,1,1,1,0,1
0,39560,3,0,0,912,2,63,204,2,0,1,1,0
0,28298,3,4,1,717,0,93,202,3,0,1,1,1
1,40640,3,5,0,661,0,163,37,1,0,1,0,3
2,6084,1,4,3,247,1,18,125,3,1,1,0,0
2,32287,3,7,2,1005,2,263,174,3,1,1,0,3
1,16288,2,4,1,3258,2,77,213,1,0,1,1,2
1,16780,0,5,0,497,1,25,122,1,0,1,1,1
1,10739,0,3,2,496,1,253,94,3,0,0,0,2
1,14311,3,2,1,351,0,273,223,0,1,1,0,1
0,9198,2,7,2,3386,0,50,13,0,0,1,0,2
1,3444,3,0,0,1635,1,44,209,2,0,0,1,0
1,23385,3,9,2,1487,0,173,225,1,0,1,0,2
1,34508,3,5,1,3330,2,71,4,3,0,1,0,1
0,8917,1,5,2,3444,1,279,247,1,1,0,0,3
0,7368,1,7,2,2931,0,102,282,0,1,0,0,1
0,22220,0,4,1,603,2,126,252,2,1,0,1,0
1,17926,1,9,0,2389,1,114,70,0,1,1,0,2
0,37860,2,4,1,3907,2,228,14,2,0,0,0,1
1,4971,2,1,1,360,2,250,62,1,0,1,0,0
1,32607,1,9,1,1184,2,198,164,0,0,0,0,2
2,19676,2,9,1,3397,2,293,9,0,1,0,0,2
0,25507,3,7,0,3112,1,82,1,2,0,0,0,1
2,20402,2,5,2,2948,0,260,230,0,1,0,0,0
2,4454,2,2,2,2713,2,31,225,3,1,1,0,3
0,32908,2,6,3,585,0,199,142,0,1,1,0,0
0,23466,2,5,1,1647,1,151,148,3,0,1,0,0
2,8016,0,0,2,3332,2,217,280,0,0,1,0,3
1,33782,0,1,0,1656,2,234,229,2,1,0,0,3
2,15483,1,4,3,2856,1,283,211,3,1,1,0,1
0,2086,2,7,0,137,2,214,173,0,1,0,0,1
1,17414,0,7,2,4368,0,286,250,2,1,1,0,3
2,3950,1,2,3,242,2,131,22,3,0,1,0,2
2,31358,3,1,1,435,0,283,48,1,1,1,0,2
2,15929,2,4,0,4284,1,211,243,2,1,1,1,0
0,34520,1,1,1,3952,1,261,25,0,0,0,0,3
2,27424,1,2,3,4226,0,22,13,2,0,1,0,2
0,38344,3,0,1,3686,2,239,177,1,0,1,0,0
1,34784,3,7,1,4090,2,121,4,1,1,0,0,3
1,31558,1,8,3,3977,2,153,130,0,0,1,0,3
2,481,2,5,2,602,2,102,1,3,0,0,0,3
0,26004,2,0,1,489,1,26,27,2,1,0,1,1
2,12401,0,0,3,2762,2,140,174,2,1,0,0,2
1,25144,1,0,2,3711,0,79,205,0,1,0,0,3
0,9088,0,2,1,925,1,136,216,0,1,0,1,0
1,17478,1,4,1,4311,2,112,287,0,0,1,1,3
1,17906,1,5,1,3380,2,54,155,1,1,1,1,1
0,12830,1,1,1,296,1,250,198,2,1,0,0,2
0,4277,2,6,3,2632,1,294,98,3,1,0,0,3
0,26770,2,7,1,2704,2,225,193,1,1,1,0,0
2,1600,1,1,0,1353,1,231,115,2,0,0,0,2
2,34014,3,2,3,3763,2,68,150,1,1,0,0,3
0,19215,3,3,2,619,0,171,250,2,1,1,0,1
0,34852,1,1,2,2703,0,24,170,0,0,1,0,0
2,8731,0,3,0,1687,1,247,292,0,1,1,1,0
0,30688,2,8,1,3751,1,63,269,0,0,1,1,2
1,6557,0,9,2,1008,0,88,291,2,1,1,0,1
0,6778,0,6,3,1419,2,284,104,3,1,0,0,0
2,12602,3,2,0,1016,1,67,224,3,1,0,1,0
0,8654,3,6,0,2645,1,287,41,3,0,1,0,3
0,37897,0,9,1,3193,1,196,47,2,0,1,0,0
1,15113,0,2,2,3898,0,292,187,1,1,0,0,1
0,14699,0,0,1,1336,2,90,286,1,1,1,1,1
2,30118,3,4,3,493,0,182,156,1,1,1,0,0
2,5234,0,7,0,2742,0,132,96,1,0,1,0,1
1,29195,3,2,2,1659,1,102,213,0,0,0,0,0
1,12763,2,1,3,3753,0,66,102,2,1,0,0,2
2,35946,2,8,3,964,1,247,235,3,0,1,0,0
0,5924,0,4,3,4354,2,160,205,0,0,1,0,0
2,18387,0,6,0,2224,2,79,278,3,0,1,1,2
1,39835,3,0,3,4158,0,173,113,2,0,1,0,0
2,27366,2,0,0,311,0,170,105,2,1,1,0,0
1,34552,1,4,3,1234,0,21,24,2,1,1,0,0
2,25364,2,2,3,166,2,238,211,0,0,0,0,3
0,30499,0,2,1,1929,2,49,225,0,1,1,1,2
0,2841,3,5,0,3245,1,212,221,3,0,1,1,0
1,17659,3,0,2,1836,0,176,253,3,0,1,0,0
0,23009,0,7,3,1242,1,121,32,2,1,0,0,0
1,8336,3,6,3,685,1,39,165,0,1,0,0,0
0,7884,1,6,1,2896,2,202,230,3,0,1,1,2
2,27020,3,4,3,3839,2,144,199,1,0,1,0,0
0,12225,1,5,0,678,2,124,293,0,1,1,1,0
2,14175,0,7,3,2098,1,228,78,3,1,0,0,2
1,7428,0,7,1,3872,2,28,260,2,0,1,1,0
0,37099,1,6,3,104,1,60,110,1,1,1,0,2
0,11205,0,0,1,331,1,101,34,0,0,1,0,0
2,15517,2,9,2,750,2,177,251,2,0,1,0,2
1,40480,1,3,0,1663,2,68,219,1,0,0,1,1
0,11950,1,7,2,2904,1,126,221,0,1,0,0,0
1,40453,0,4,1,2938,0,217,170,3,1,0,0,0
1,26451,1,9,3,2928,1,223,256,1,1,1,0,3
0,32884,2,1,2,4131,1,34,155,1,1,1,0,2
2,15035,2,5,2,606,2,153,166,3,1,0,0,2
1,12599,1,2,0,529,0,182,155,2,0,0,0,2
1,26921,0,8,0,3960,2,168,287,2,0,0,1,0
0,3200,3,0,1,3428,0,162,227,2,1,0,1,1
1,38671,3,3,1,2552,1,295,133,0,1,0,0,2
0,14495,2,4,0,1975,0,222,147,2,1,0,0,2
1,12846,3,0,1,1231,1,1,293,3,0,1,1,0
2,36017,1,9,0,2421,2,262,138,2,1,1,0,0
2,34700,2,2,0,2202,1,50,225,1,1,0,1,0
2,37837,0,1,2,4144,2,86,291,3,1,1,0,1
2,17974,2,5,3,740,0,133,50,2,0,0,0,2
0,22749,2,4,3,1221,2,233,147,2,1,1,0,2
0,40922,3,2,3,3486,2,176,265,3,0,0,0,2
0,19264,2,5,3,641,0,121,25,2,1,1,0,0
0,39741,1,5,2,2312,1,206,15,3,0,0,0,0
0,5235,3,5,1,3349,0,108,298,2,1,0,1,1
2,4796,2,0,2,3767,1,38,215,2,0,0,0,1
1,26018,0,4,3,2465,0,65,46,3,1,1,0,1
1,13751,0,7,3,1384,1,35,150,3,0,0,0,0
2,15911,3,8,3,1076,2,192,0,1,0,1,0,0
2,8140,3,0,0,1348,2,226,228,0,0,1,1,1
0,38776,2,6,1,4037,0,22,110,0,1,1,1,0
0,40073,3,2,0,1646,1,270,249,3,1,0,0,0
1,8862,1,1,2,600,0,224,0,2,0,0,0,0
1,10951,3,2,3,4011,0,278,276,1,0,0,0,2
0,30287,2,8,0,2458,0,71,102,3,1,1,1,3
0,34080,1,4,0,3703,0,38,230,0,1,0,1,0
2,22772,2,4,2,3013,1,169,263,2,0,1,0,1
0,3172,0,5,1,1262,1,173,201,1,1,0,1,0
2,31334,1,4,2,949,2,207,95,0,0,1,0,2
0,27450,0,3,0,4357,1,104,182,3,1,0,1,0
1,13481,1,3,3,120,2,9,291,0,1,1,0,2
2,40022,0,9,3,1415,1,261,72,1,0,0,0,1
1,31717,1,6,2,2033,2,254,61,3,0,0,0,2
2,11638,2,1,1,35,0,11,195,3,0,0,1,3
2,11782,1,4,1,454,2,78,279,0,0,1,1,0
1,39450,3,6,0,967,2,91,277,2,1,0,1,3
1,32171,0,1,2,3256,2,249,101,2,0,0,0,2
0,98,0,9,2,3094,1,42,218,2,0,1,0,2
2,40370,1,0,3,940,1,165,163,3,1,0,0,3
0,18991,1,8,2,2412,0,47,231,2,0,1,0,0
2,5672,3,6,2,3585,1,280,194,2,1,1,0,2
0,5710,2,3,3,1054,1,147,139,2,1,0,0,2
1,18228,2,3,3,1159,1,265,144,0,0,1,0,1
1,15966,1,2,2,3141,2,55,22,1,0,1,0,0
0,18658,0,5,2,4185,2,213,184,2,1,1,0,0
1,19485,1,8,0,1372,0,32,125,3,1,1,1,0
0,39777,2,7,2,2137,0,251,179,0,0,0,0,0
2,2766,0,9,0,592,2,26,109,3,0,0,1,1
2,12262,0,0,2,253,2,93,299,2,0,0,0,1
1,13985,3,3,0,2743,1,245,109,2,1,1,0,0
1,18650,1,3,3,2801,2,77,166,0,1,1,0,2
1,24843,0,4,2,4358,1,247,86,0,0,0,0,1
2,14848,3,7,1,3196,0,241,34,1,1,1,0,0
0,32266,2,2,1,2909,2,137,175,0,0,0,1,1
1,33906,1,8,1,3793,0,181,281,1,1,0,1,2
0,40892,0,0,2,3505,2,45,35,1,1,0,0,2
1,29012,3,9,3,416,1,223,252,0,0,1,0,1
1,3381,2,3,2,1699,2,39,24,1,0,1,0,2
1,24037,3,6,1,3699,2,135,282,3,1,1,1,1
0,376,3,2,2,3815,0,190,136,1,0,1,0,3
0,27594,3,6,3,1803,2,186,10,2,0,1,0,2
0,30115,1,1,0,4185,2,260,241,0,0,1,0,3
2,32640,2,9,3,3395,1,62,297,1,0,1,0,0
2,15314,0,3,2,3509,0,20,6,0,0,1,0,3
2,29829,2,7,0,2208,1,205,278,0,0,1,1,0
0,24169,0,0,2,2200,0,185,155,1,1,0,0,0
2,33511,1,0,2,3557,1,140,130,1,0,0,0,1
1,13436,1,0,2,1803,2,293,159,1,0,1,0,3
0,33746,1,9,0,1393,1,224,202,1,1,0,0,2
1,35627,1,8,2,203,0,90,292,2,1,0,0,0
1,20851,1,2,2,621,1,89,215,3,1,1,0,2
0,7672,0,5,0,1273,0,185,77,1,0,1,0,2
1,12208,1,4,3,3309,1,214,52,1,0,1,0,2
0,4117,3,8,0,2386,1,190,253,2,1,1,1,2
2,23390,1,9,3,678,0,256,293,0,0,0,0,0
0,16650,2,0,2,2408,0,44,156,0,1,1,0,0
0,3541,0,7,0,668,2,27,117,0,1,1,1,2
1,39550,0,7,1,3860,2,291,24,0,1,1,0,2
1,9851,3,2,1,1721,0,240,190,3,0,0,0,3
1,15160,2,7,2,1524,1,247,99,1,0,1,0,0
1,19354,3,8,1,2647,2,149,130,3,1,1,0,3
1,14436,0,9,3,1689,0,150,210,3,0,1,0,0
1,18683,0,0,0,3908,1,172,167,0,0,0,0,0
1,11092,1,1,3,4066,0,27,270,2,1,1,0,2
1,16625,2,1,1,4471,2,83,141,2,0,1,1,3
1,32426,0,2,2,3331,2,148,101,3,1,1,0,0
0,8864,2,6,3,2836,2,295,2,0,1,1,0,3
1,35274,3,9,0,1104,2,9,0,1,1,0,0,0
1,38778,1,4,1,3058,2,32,102,1,0,0,1,2
0,29205,3,2,1,4290,2,133,177,3,0,0,1,0
2,29674,1,4,2,10,1,37,234,0,0,0,0,1
2,19825,0,6,0,2509,2,40,74,2,0,1,1,2
0,34909,3,3,0,1403,0,223,168,0,0,1,0,1
2,28074,2,6,1,2320,0,17,129,2,1,1,1,0
1,25303,0,2,3,2660,0,9,201,2,1,0,0,2
1,20318,3,9,3,690,0,229,196,0,1,0,0,0
1,39313,2,1,3,1799,1,262,21,3,0,0,0,0
2,26735,0,1,2,5,2,86,103,3,1,1,0,2
0,11892,0,2,1,3987,2,42,226,0,0,0,1,0
1,33984,1,7,0,1987,2,214,110,3,1,1,0,2
0,4039,0,4,0,1620,2,213,255,3,0,0,1,2
0,34829,0,3,2,1816,2,86,220,2,1,0,0,1
1,696,1,3,0,1632,1,80,21,1,0,0,0,2
0,19837,3,5,0,2763,1,244,2,2,1,0,0,3
0,20238,1,6,0,1680,1,33,99,1,0,0,1,3
1,36596,3,0,3,2494,0,164,227,0,1,1,0,2
0,26191,0,5,2,161,0,97,227,1,0,0,0,2
2,10395,2,5,1,3837,2,219,219,1,0,1,0,2
1,9801,1,2,3,1880,0,165,21,2,0,0,0,0
1,35757,1,3,2,2360,0,98,269,0,0,0,0,0
1,24872,2,5,2,903,0,295,254,0,0,1,0,1
1,37678,0,0,2,3138,1,76,198,2,0,0,0,0
1,30383,1,9,1,102,2,280,273,2,1,1,0,2
1,29565,3,0,3,1101,0,216,287,2,0,1,0,2
1,16671,1,8,0,587,2,276,228,2,0,1,0,2
2,28599,1,7,2,817,1,133,150,1,1,1,0,2
0,18044,1,9,0,2303,1,102,233,2,1,0,1,0
